datetime,demand,plant,net_generation,coal,hydro,natural_gas,nuclear,other,solar,wind,total_interchange
20200314T21Z,41820.0,ERCO,38608.0,7155.0,69.0,20838.0,4035.0,16.0,0.0,6493.0,-483.0
20200314T20Z,41742.0,ERCO,40336.0,7166.0,71.0,21410.0,4289.0,15.0,0.0,7385.0,-516.0
20200314T19Z,41476.0,ERCO,41341.0,7236.0,152.0,21097.0,4727.0,25.0,0.0,8104.0,-352.0
20200314T18Z,41002.0,ERCO,41786.0,7073.0,144.0,20724.0,4951.0,15.0,36.0,8844.0,-346.0
20200314T17Z,40084.0,ERCO,42228.0,7208.0,107.0,21660.0,4991.0,13.0,232.0,8016.0,-465.0
20200314T16Z,38742.0,ERCO,43051.0,7282.0,108.0,22398.0,5029.0,13.0,541.0,7678.0,-528.0
20200314T15Z,37070.0,ERCO,43141.0,7227.0,108.0,22718.0,5036.0,16.0,607.0,7430.0,-536.0
20200314T14Z,35229.0,ERCO,42891.0,7269.0,107.0,22316.0,5044.0,9.0,881.0,7265.0,-273.0
20200314T13Z,34137.0,ERCO,42453.0,7304.0,107.0,21832.0,5081.0,14.0,1073.0,7044.0,-101.0
20200314T12Z,33053.0,ERCO,42184.0,7312.0,107.0,20685.0,5091.0,16.0,932.0,8042.0,57.0
20200314T11Z,32280.0,ERCO,41687.0,7064.0,106.0,19354.0,5092.0,9.0,907.0,9156.0,52.0
20200314T10Z,31927.0,ERCO,41201.0,6220.0,70.0,18445.0,5092.0,11.0,770.0,10593.0,95.0
20200314T09Z,32067.0,ERCO,40207.0,5346.0,96.0,17600.0,5093.0,10.0,573.0,11492.0,32.0
20200314T08Z,32658.0,ERCO,39118.0,4969.0,96.0,16292.0,5093.0,10.0,269.0,12389.0,-51.0
20200314T07Z,33609.0,ERCO,38061.0,3997.0,68.0,15326.0,5094.0,9.0,38.0,13530.0,-25.0
20200314T06Z,35060.0,ERCO,37281.0,3591.0,68.0,15091.0,5093.0,10.0,0.0,13428.0,9.0
20200314T05Z,37133.0,ERCO,35609.0,3292.0,67.0,14705.0,5094.0,4.0,0.0,12448.0,2.0
20200314T04Z,39105.0,ERCO,33603.0,2803.0,68.0,12907.0,5094.0,9.0,0.0,12722.0,-302.0
20200314T03Z,40788.0,ERCO,32461.0,2748.0,67.0,12401.0,5094.0,4.0,0.0,12147.0,-390.0
20200314T02Z,41824.0,ERCO,32068.0,2676.0,68.0,11555.0,5094.0,6.0,0.0,12669.0,-313.0
20200314T01Z,42302.0,ERCO,32485.0,3074.0,68.0,12178.0,5094.0,8.0,0.0,12063.0,-433.0
20200314T00Z,42579.0,ERCO,33528.0,4352.0,68.0,13287.0,5093.0,9.0,0.0,10717.0,-148.0
