datetime,forecast_demand,plant
20220101T15Z,35578,ERCO
20220101T14Z,33894,ERCO
20220101T13Z,33851,ERCO
20220101T12Z,34917,ERCO
20220101T11Z,35776,ERCO
20220101T10Z,36308,ERCO
20220101T09Z,36864,ERCO
20220101T08Z,37119,ERCO
20220101T07Z,37515,ERCO
20220101T06Z,37413,ERCO
20220101T05Z,38082,ERCO
20220101T04Z,39027,ERCO
20220101T03Z,40562,ERCO
20220101T02Z,42466,ERCO
20220101T01Z,44468,ERCO
20220101T00Z,44669,ERCO
20211231T23Z,44360,ERCO
20211231T22Z,44473,ERCO
20211231T21Z,44490,ERCO
20211231T20Z,44302,ERCO
20211231T19Z,44104,ERCO
20211231T18Z,43702,ERCO
20211231T17Z,42836,ERCO
20211231T16Z,41475,ERCO
20211231T15Z,39873,ERCO
20211231T14Z,38845,ERCO
20211231T13Z,37442,ERCO
20211231T12Z,35239,ERCO
20211231T11Z,34093,ERCO
20211231T10Z,33735,ERCO
20211231T09Z,34207,ERCO
20211231T08Z,34945,ERCO
20211231T07Z,36300,ERCO
20211231T06Z,37070,ERCO
20211231T05Z,38826,ERCO
20211231T04Z,40401,ERCO
20211231T03Z,41713,ERCO
20211231T02Z,42686,ERCO
20211231T01Z,43444,ERCO
20211231T00Z,42704,ERCO
20211230T23Z,42060,ERCO
20211230T22Z,41971,ERCO
20211230T21Z,41845,ERCO
20211230T20Z,41592,ERCO
20211230T19Z,41139,ERCO
20211230T18Z,40564,ERCO
20211230T17Z,39871,ERCO
20211230T16Z,39146,ERCO
20211230T15Z,38541,ERCO
20211230T14Z,38161,ERCO
20211230T13Z,36561,ERCO
20211230T12Z,33534,ERCO
20211230T11Z,31682,ERCO
20211230T10Z,30933,ERCO
20211230T09Z,30962,ERCO
20211230T08Z,31839,ERCO
20211230T07Z,33188,ERCO
20211230T06Z,37431,ERCO
20211230T05Z,40150,ERCO
20211230T04Z,42727,ERCO
20211230T03Z,44290,ERCO
20211230T02Z,45502,ERCO
20211230T01Z,46531,ERCO
20211230T00Z,45859,ERCO
